,proteins
5749,KIN28_YEAST
5750,EXOC2_MOUSE
5751,IQW1_SCHPO
5752,ASCA8_ASCTR
5753,IPKB_MOUSE
5754,SSL5_ARATH
5755,NCKX6_RAT
5756,FUT11_ARATH
5757,S35B1_HUMAN
5758,ADAM9_MOUSE
5759,UCDH_STRR6
5760,GSTM4_HUMAN
5761,CRF1_ASPFU
5762,FRDS_YEAST
5763,FLA5_ARATH
5764,ATPA_ORYNI
5765,WRK45_ARATH
5766,GBRB3_MOUSE
5767,COX12_SCHPO
5768,ZN177_HUMAN
5769,NODAL_MOUSE
5770,PLPR5_MOUSE
5771,XPO2_DANRE
5772,PP2AA_RAT
5773,PDIA1_MACFU
5774,AN32A_HUMAN
5775,GBRA3_RAT
5776,PP2A_DROME
5777,RISC_RAT
5778,K10_DROME
5779,YBD3_SCHPO
5780,VPS36_MOUSE
5781,TIS11_DROME
5782,MVD1_ARATH
5783,NR2E1_HUMAN
5784,P25_SCHPO
5785,SPRL1_HUMAN
5786,SLN13_HUMAN
5787,RAD_MOUSE
5788,LV657_HUMAN
5789,G39AD_DROME
5790,MARC2_HUMAN
5791,EIF3D_MOUSE
5792,LRIT1_RAT
5793,POPD2_DANRE
5794,F175B_MOUSE
5795,TUFT1_HUMAN
5796,CYSKP_ARATH
5797,86A22_PETHY
5798,TRI67_MOUSE
5799,MYSP_CAEEL
5800,YABI_ECOLI
5801,GSTM3_MOUSE
5802,TRM14_METJA
5803,VKGC_RAT
5804,MTX2_MOUSE
5805,GS1_DROME
5806,KTAP2_IXOSC
5807,FIBA_HUMAN
5808,PCDP1_CHLRE
5809,SYFM_HUMAN
5810,S6A15_MOUSE
5811,RL39L_HUMAN
5812,CHIN_HUMAN
5813,GGC1_YEAST
5814,NDB3_ARATH
5815,C2D1A_MOUSE
5816,PAP7_ARATH
5817,HSDL2_HUMAN
5818,SCX5_TITOB
5819,YPT6_YEAST
5820,YBHF_ECOLI
5821,LSF2_ARATH
5822,EVI5_HUMAN
5823,PPIP1_HUMAN
5824,KCC2A_HUMAN
5825,NYX_MOUSE
5826,PTGES_HUMAN
5827,GELS1_LUMTE
5828,ZBTB5_HUMAN
5829,TBA3_CAEEL
5830,ATB14_ARATH
5831,FRO5_ARATH
5832,CTR2_HUMAN
5833,LOX12_HUMAN
5834,R4RL1_HUMAN
5835,STP3_YEAST
5836,ZN443_HUMAN
5837,RS3_DROME
5838,KCNAG_CAEEL
5839,PDHK2_CAEEL
5840,INHBA_RAT
5841,SMAD7_RAT
5842,CDF3_ARATH
5843,CAPSD_BPPM2
5844,MALF_ECOLI
5845,HPPR_PLESU
5846,NB5R2_MOUSE
5847,ADA1A_HUMAN
5848,SYMC_HUMAN
5849,RDMC_STREF
5850,CAV1_CHICK
5851,GCN5_SCHPO
5852,POC1B_HUMAN
5853,PECA1_RAT
5854,FMO4_MOUSE
5855,LCLT1_MOUSE
5856,PGIP2_ARATH
5857,RD10A_DANRE
5858,MPI_MOUSE
5859,BH041_ARATH
5860,SYO1_YEAST
5861,RLF_ARATH
5862,H31_HUMAN
5863,ABCF2_DICDI
5864,GPR83_MOUSE
5865,SR30_ARATH
5866,CYP22_ARATH
5867,ONEC2_MOUSE
5868,OPALI_HUMAN
5869,MOCS3_DROME
5870,GPAT3_MOUSE
5871,AGRG1_HUMAN
5872,MEP1B_HUMAN
5873,PCDB5_HUMAN
5874,MGDG1_ARATH
5875,GRM7_HUMAN
5876,XRCC1_MOUSE
5877,PMGY_CANAL
5878,ZBT14_MOUSE
5879,NFIP1_HUMAN
5880,DCPS_SCHPO
5881,MLT7_CAEEL
5882,WAKLJ_ARATH
5883,SAHH1_ARATH
5884,KBL_ECOLI
5885,PURA_DICDI
5886,NUP54_HUMAN
5887,HDT3_ARATH
5888,OXDA_PIG
5889,ARM_DROME
5890,DDR2_HUMAN
5891,ACTG_MOUSE
5892,PI51B_HUMAN
5893,IF5Z_ARATH
5894,SGT1_HUMAN
5895,FCF1_MOUSE
5896,TFDP2_HUMAN
5897,VA0D2_HUMAN
5898,CCSDS_ORYSJ
5899,NREP_MOUSE
5900,LOL5_ORYSJ
5901,OAT_HUMAN
5902,M2DH_ASPFU
5903,SNX12_HUMAN
5904,ERI3_MOUSE
5905,MMP2_RAT
5906,ALDH4_YEAST
5907,PILS5_ARATH
5908,MAP4_SCHPO
5909,ERF69_ARATH
5910,TF65_MOUSE
5911,NCKX5_HUMAN
5912,LRC15_HUMAN
5913,MAF1_MOUSE
5914,GLI1_CHICK
5915,5HT1F_HUMAN
5916,KCC2D_CAEEL
5917,BH048_ARATH
5918,ACT1_CAEEL
5919,KIME_ARATH
5920,SIGA_STRCO
5921,HDRA_METTM
5922,IDH5_ARATH
5923,PHT17_ARATH
5924,YCS2_SCHPO
5925,DOEC_HALED
5926,TPPC1_MOUSE
5927,FLIA_ECOLI
5928,OR59A_DROME
5929,HNRPD_RAT
5930,CSK2D_ARATH
5931,RAE1A_ARATH
5932,S15A3_RAT
5933,MD36A_ARATH
5934,FXL12_MOUSE
5935,MTM1_YEAST
5936,RL32A_SCHPO
5937,CCND2_MOUSE
5938,PIDD1_MOUSE
5939,TRAM2_HUMAN
5940,ISL1_HUMAN
5941,DNJA3_MOUSE
5942,KPRB_RAT
5943,SAA4_HUMAN
5944,TGFA_MOUSE
5945,NGA3_ARATH
5946,HDA11_HUMAN
5947,NIPA4_MOUSE
5948,CRUM3_HUMAN
5949,CAN1_ARATH
5950,HYALP_MOUSE
5951,GSH0_SCHPO
5952,AMRP_MOUSE
5953,PHAG1_HUMAN
5954,KRE2_YEAST
5955,RLP55_ARATH
5956,TTHY_RAT
5957,BCA4_ARATH
5958,DSC1_MOUSE
5959,GAT1_CANAL
5960,PRB1_ARATH
5961,SCRK2_MAIZE
5962,TYRO3_RAT
5963,TT2_ARATH
5964,SRC64_DROME
5965,AFAP1_RAT
5966,TBB3_RAT
5967,RORB_MOUSE
5968,HDA1_CANAL
5969,CDN1B_HUMAN
5970,CARD9_MOUSE
5971,HSFB4_ARATH
5972,PLEK2_HUMAN
5973,TBA1A_MOUSE
5974,MSRE_HUMAN
5975,NRF1_MOUSE
5976,PHT1A_ORYSJ
5977,INT11_DROME
5978,VP40_EBOZM
5979,UBF1_MOUSE
5980,COPRS_MOUSE
5981,SCN4B_HUMAN
5982,PSBL_ORYNI
5983,Z354A_HUMAN
5984,PP2A2_SCHPO
5985,BPNT1_HUMAN
5986,ELAV4_MOUSE
5987,M2K8_ARATH
5988,AP3M_ARATH
5989,COX14_HUMAN
5990,GUDB_BACSU
5991,NOGG_XENLA
5992,UBL1_SCHPO
5993,RB27B_RAT
5994,TFF3_MOUSE
5995,IDLC_HUMAN
5996,KISSR_RAT
5997,NRAT1_ORYSJ
5998,ABEC1_RAT
5999,RAD17_MOUSE
6000,G3P1_SCHPO
6001,NEDD8_RAT
6002,OFUT1_RAT
6003,RBGA_BACSU
6004,IDI1_YEAST
6005,TVB2_HUMAN
6006,ZP3_CANLF
6007,SHPK_HUMAN
6008,CELAP_XANCP
6009,RK123_ARATH
6010,HNT1_YEAST
6011,S47A1_HUMAN
6012,DERL2_MOUSE
6013,CHK1_RAT
6014,UBC8_YEAST
6015,PCYOX_HUMAN
6016,DBIL5_RAT
6017,O4F15_HUMAN
6018,CR26L_ARATH
6019,BUD22_YEAST
6020,LAT1_HUMAN
6021,ASB1_MOUSE
6022,HDAC3_HUMAN
6023,KC1_PLAF4
6024,KRDE_DESAH
6025,SLS3_TRYB2
6026,OPSG1_DANRE
6027,ABHD2_MOUSE
6028,RM13_BOVIN
6029,SH2B1_MOUSE
6030,BODG_HUMAN
6031,GATA_DROME
6032,DRAXI_CHICK
6033,RH3_ARATH
6034,ZDHC5_MOUSE
6035,TPTE2_HUMAN
6036,TPO3_YEAST
6037,SFC1_YEAST
6038,FKB1B_RAT
6039,FKTN_MOUSE
6040,S39A1_MOUSE
6041,EGLN_PIG
6042,I2BP1_HUMAN
6043,CPLX2_MOUSE
6044,PSB7_DICDI
6045,WHRN_RAT
6046,SID1_SCHPO
6047,KC1D_HUMAN
6048,CLC14_HUMAN
6049,SIAL_CHICK
6050,HINT1_MOUSE
6051,S10AC_PIG
6052,CHMU_ENTAG
6053,ANXA7_BOVIN
6054,HIS7_YEAST
6055,SNW1_HUMAN
6056,NUCL1_ARATH
6057,SMAD6_MOUSE
6058,CRK_RAT
6059,DFFB_MOUSE
6060,UBQ10_ARATH
6061,PURA2_MOUSE
6062,YBBO_ECOLI
6063,MKS1_HUMAN
6064,H33C_DICDI
6065,RAC9_ARATH
6066,UBL5_DROME
6067,FCN2_HUMAN
6068,AMY3_ARATH
6069,U78D2_ARATH
6070,TERS_LAMBD
6071,NR1H2_HUMAN
6072,SKOR1_HUMAN
6073,GGH_HUMAN
6074,QCR7_MOUSE
6075,PSNA_ARATH
6076,MCA1_YEAST
6077,RS5A_DROME
6078,NGB_MOUSE
6079,TO203_ARATH
6080,ETV4_HUMAN
6081,MKNK1_HUMAN
6082,C1QR1_MOUSE
6083,ACG_MYCTU
6084,XLNR_ASPOR
6085,AATP1_ARATH
6086,A16L1_MOUSE
6087,PKS4_ALOAR
6088,HM13_MOUSE
6089,KC1G2_HUMAN
6090,CCM2_DANRE
6091,DEND_RAT
6092,HRD1_SCHPO
6093,ORC1_DROME
6094,EGY2_ARATH
6095,NEK4_HUMAN
6096,ISK1L_RAT
6097,GNAI3_RAT
6098,VPS1_YEAST
6099,ENO_PLAF7
6100,LY6D_HUMAN
6101,CBX6_MOUSE
6102,GOLM1_HUMAN
6103,ACHA2_MOUSE
6104,OR5L1_HUMAN
6105,TALA_ECOLI
6106,UBC34_ARATH
6107,GRIA2_MOUSE
6108,K2C72_HUMAN
6109,HPCL4_RAT
6110,TFS2_SCHPO
6111,MAS1L_HUMAN
6112,GPC1_HUMAN
6113,SYT6_MOUSE
6114,NADA_ARATH
6115,LAYN_CRIGR
6116,MCPH1_MOUSE
6117,PIC2_YEAST
6118,RT33_MOUSE
6119,ECSIT_HUMAN
6120,IL10_HUMAN
6121,AMT11_ORYSJ
6122,HME1_HUMAN
6123,APE1_SCHPO
6124,WDR82_DROME
6125,ZDH14_HUMAN
6126,P5F11_XENLA
6127,TNI3K_MOUSE
6128,UBE2A_MOUSE
6129,DIC_MOUSE
6130,SOX13_MOUSE
6131,AKR1_YEAST
6132,CHST9_HUMAN
6133,RN208_HUMAN
6134,KPC1B_CAEEL
6135,TMM17_HUMAN
6136,ANM5_XENLA
6137,VIT3_DROME
6138,KCC2G_RAT
6139,FA7_HUMAN
6140,C3H64_ARATH
6141,ASR1_YEAST
6142,P2B10_ARATH
6143,OR85F_DROME
6144,MEP3_YEAST
6145,ODAM_HUMAN
6146,CSRN1_MOUSE
6147,AHL29_ARATH
6148,KDPA_MYCTU
6149,PIGA_HUMAN
6150,TLK1_CAEEL
6151,VNG2A_XENLA
6152,CLC4M_HUMAN
6153,GYRB_MYCLE
6154,KCY_HUMAN
6155,CYC2_MOUSE
6156,MPIP2_RAT
6157,NRADD_RAT
6158,PYP2_SCHPO
6159,CSR2B_MOUSE
6160,SKAP2_HUMAN
6161,ST1C1_MOUSE
6162,SPT2_CHICK
6163,ADAM2_MOUSE
6164,COQ2_DROME
6165,PKR2_MOUSE
6166,SODC_EMENI
6167,HAP1_MOUSE
6168,EXOC7_MOUSE
6169,RL10_RAT
6170,T106A_HUMAN
6171,TOM7_MOUSE
6172,YLAT1_HUMAN
6173,SLN11_HUMAN
6174,RBP56_HUMAN
6175,RH22_ARATH
6176,DRL30_ARATH
6177,THO5A_ARATH
6178,FBP1L_HUMAN
6179,LSM1A_ARATH
6180,S52A3_RAT
6181,ERFB_YEAST
6182,ACRO_RAT
6183,TSACC_HUMAN
6184,UDB15_RAT
6185,ADSV_BOVIN
6186,RHBL2_MOUSE
6187,EF1A3_HUMAN
6188,COX41_BOVIN
6189,VCX1_HUMAN
6190,FLOT1_DROME
6191,B3GTH_ARATH
6192,RAB20_HUMAN
6193,GALR3_MOUSE
6194,AOCX_BOVIN
6195,HOMEZ_MOUSE
6196,NLRX1_MOUSE
6197,HS3S2_RAT
6198,GPX2_ARATH
6199,LHX6_MOUSE
6200,CLA4_YEAST
6201,VAMP3_HUMAN
6202,PLP5_ARATH
6203,OXDD2_CAEEL
6204,C1QB_HUMAN
6205,PP2C7_YEAST
6206,DAH54_LITDA
6207,TH2A_TRYBB
6208,GLC7C_CAEEL
6209,PGA30_CANAL
6210,BUD20_YEAST
6211,SC5A5_RAT
6212,LOXL2_HUMAN
6213,EWS_HUMAN
6214,MDM30_YEAST
6215,BHMT1_RAT
6216,CKB12_ARATH
6217,PAFA2_BOVIN
6218,TM102_MOUSE
6219,LOXE3_RAT
6220,TBR1_HUMAN
6221,TAF10_HUMAN
6222,DMRT3_HORSE
6223,SHC3_HUMAN
6224,TR105_MOUSE
6225,PYGO1_HUMAN
6226,SYA_YEAST
6227,BAFB_XENLA
6228,GMT_CANAL
6229,TPH1_HUMAN
6230,IPMKA_ARATH
6231,MRGRF_RAT
6232,BGA10_ARATH
6233,MES4_ARATH
6234,ING1_SCHPO
6235,RLA24_ARATH
6236,RLBP1_MOUSE
6237,WOX5_ARATH
6238,MIRO2_HUMAN
6239,DEF4_RAT
6240,SLAF7_MOUSE
6241,WN10B_MOUSE
6242,PDE6B_MOUSE
6243,SMAD2_RAT
6244,1B35_HUMAN
6245,IL2RG_HUMAN
6246,PMA_AVESA
6247,KCJ12_HUMAN
6248,CNNM1_MOUSE
6249,ERB1_YEAST
6250,ABCB7_DICDI
6251,LEA49_ARATH
6252,DNM3A_CHICK
6253,GPDM_MOUSE
6254,VAV3_MOUSE
6255,GALA_HUMAN
6256,PKP3_HUMAN
6257,KKCC_CAEEL
6258,MXC_DANRE
6259,TXLNB_HUMAN
6260,RABE1_MOUSE
6261,CD53_RAT
6262,DPYL5_RAT
6263,UIP4_YEAST
6264,DEGS_SALT1
6265,ULA1_YEAST
6266,DNAK_MYCTU
6267,CESA8_ARATH
6268,GIPC1_HUMAN
6269,WDR36_HUMAN
6270,DUSAL_THET8
6271,RNF34_HUMAN
6272,MSP77_CAEEL
6273,WISP1_HUMAN
6274,CUE5_SCHPO
6275,COL_RAT
6276,CYPC_YEAST
6277,GAS6_HUMAN
6278,ZP3R_CAVPO
6279,RM32_MOUSE
6280,HORM1_HUMAN
6281,GDPD1_MOUSE
6282,THIO_MOUSE
6283,PATL4_ARATH
6284,RL353_ARATH
6285,SH3K1_RAT
6286,PDM2B_DROME
6287,TCO2_HUMAN
6288,STX11_MOUSE
6289,CLPB_ECOLI
6290,UDB17_RAT
6291,INSL6_MOUSE
6292,KELL_MOUSE
6293,STK10_CHICK
6294,TRXM1_ARATH
6295,KPCI_RAT
6296,PDI15_ARATH
6297,EFNA1_HUMAN
6298,TSN17_MOUSE
6299,IMA2_SCHPO
6300,ZRAB2_RAT
6301,ARSE_HUMAN
6302,MX2_ONCMY
6303,RLMD_ECOLI
6304,HEXC_BOMMO
6305,AT1B3_MOUSE
6306,P4KG5_ARATH
6307,ART1B_SCHPO
6308,GG1_ORYSJ
6309,IL2_MOUSE
6310,DLRB1_HUMAN
6311,ZAR1_ARATH
6312,EPMB_ECOLI
6313,HYH_ARATH
6314,GAST_HUMAN
6315,CTK1_YEAST
6316,SFRP5_MOUSE
6317,HF101_ARATH
6318,THRB_MOUSE
6319,GARP_ECOLI
6320,HNT1_SCHPO
6321,PTK2_YEAST
6322,WDR5A_ARATH
6323,O4F21_HUMAN
6324,IP6K1_MOUSE
6325,HDAC9_MOUSE
6326,SODF2_ORYSJ
6327,GOGA5_HUMAN
6328,3MMP_ARATH
6329,DYR1B_MOUSE
6330,GSTA2_RAT
6331,PDZD7_HUMAN
6332,FXC1A_XENLA
6333,LIN9_HUMAN
6334,NAC31_ARATH
6335,ACS2L_HUMAN
6336,ALFL6_ARATH
6337,VPB35_MYCTU
6338,CLD7A_DANRE
6339,RF1M_HUMAN
6340,TOM40_RAT
6341,PAL_NOSP7
6342,AOC1_ARATH
6343,NHRF1_RAT
6344,NDUA5_MOUSE
6345,PPT1_ARATH
6346,TTLL3_MOUSE
6347,GSTK1_HUMAN
6348,ACSM3_MOUSE
6349,SC61B_MOUSE
6350,DEF1_CRAVI
6351,FTSZ_STRCO
6352,VEGFB_MOUSE
6353,4HYPE_CHRVO
6354,CADH5_HUMAN
6355,GLCTK_HUMAN
6356,GPAT4_HUMAN
6357,PFL7_SCHPO
6358,FDH2_YEAST
6359,NDUS8_BOVIN
6360,STEA2_MOUSE
6361,HMDH_MOUSE
6362,SUCA_CAEEL
6363,PPM1G_MOUSE
6364,SEC15_YEAST
6365,EFNB2_HUMAN
6366,LRCH3_HUMAN
6367,MATRX_RABVS
6368,KAPS_SCHPO
6369,DMA1_YEAST
6370,GLSK_MOUSE
6371,FXL22_HUMAN
6372,NDUB6_MOUSE
6373,ILEU_HUMAN
6374,CEAM1_MOUSE
6375,EPCAM_MOUSE
6376,CML26_ARATH
6377,B3AT_HUMAN
6378,HA2J_MOUSE
6379,RBM8A_MOUSE
6380,HS181_ARATH
6381,COLQ_RAT
6382,PLTP_HUMAN
6383,STP2_MOUSE
6384,PHC3_MOUSE
6385,SIG14_HUMAN
6386,CKL3_ARATH
6387,ACTB_CHICK
6388,GST36_CAEEL
6389,TPS4_MEDTR
6390,LAMP3_RAT
6391,RADD_ECOLI
6392,2AB2A_ARATH
6393,2A5E_HUMAN
6394,PP2BA_MOUSE
6395,YH77_SCHPO
6396,PMA11_ARATH
6397,CSN6_HUMAN
6398,TIP21_ARATH
6399,NET1_CHICK
6400,TRUA_MOUSE
6401,CD24_HUMAN
6402,UD3A1_MOUSE
6403,AP2A_HUMAN
6404,NEU1_HUMAN
6405,TIM22_HUMAN
6406,RS30A_YEAST
6407,SLMAP_MOUSE
6408,PIDD1_HUMAN
6409,ITPK1_ARATH
6410,ADA18_HUMAN
6411,FRDA_MYCTU
6412,UBA5_HUMAN
6413,BGL25_ARATH
6414,PUB30_ARATH
6415,ABFB_ASPKW
6416,SH2D3_MOUSE
6417,TP4A3_MOUSE
6418,HES1_HUMAN
6419,SIR3_HUMAN
6420,PRK1_YEAST
6421,FABP4_MOUSE
6422,PP1B_DROME
6423,UPK2_BOVIN
6424,AEBP2_MOUSE
6425,RAB6A_CAEEL
6426,BHE40_MOUSE
6427,ARF11_CAEEL
6428,TPS1_CANAL
6429,CRR57_ARATH
6430,NAAT1_DROME
6431,G3P_MOUSE
6432,SKH1_SCHPO
6433,DPYL1_RAT
6434,PRS4_CAEEL
6435,HM43_CAEEL
6436,CYDX_ECOLI
6437,TACD2_HUMAN
6438,SEM2_CAEEL
6439,GRIK2_HUMAN
6440,B4GA1_MOUSE
6441,LYAM1_MOUSE
6442,SNM1_ARATH
6443,MLR2_CAEEL
6444,TS1R3_RAT
6445,FOMT1_WHEAT
6446,ONEC3_MOUSE
6447,IL2RA_HUMAN
6448,ERG3_YEAST
6449,TTL10_MOUSE
6450,EAA5_HUMAN
6451,TOP1M_MOUSE
6452,FER_SOLNI
6453,HERK_ARATH
6454,RL27_DANRE
6455,NDUS3_HUMAN
6456,KAD5_HUMAN
6457,FGF20_HUMAN
6458,PSA4A_ARATH
6459,OR8K3_HUMAN
6460,HM16_CAEEL
6461,ASPGA_ARATH
6462,SLMH_RHIRD
6463,HSPB7_RAT
6464,FAT2_SCHPO
6465,C1QT5_HUMAN
6466,YOL19_YEAST
6467,KT3K_HUMAN
6468,FFAR4_MOUSE
6469,DSF1_YEAST
6470,SOT13_ARATH
6471,OR1D2_HUMAN
6472,USF2_RAT
6473,H2B11_ARATH
6474,RM03_BOVIN
6475,5MMP_ARATH
6476,ERF53_ARATH
6477,DPOLL_HUMAN
6478,ACBP_RAT
6479,CD8B_HUMAN
6480,SO4A1_HUMAN
6481,GASA5_ARATH
6482,RAN3_ARATH
6483,SOSB2_HUMAN
6484,MED9_YEAST
6485,RAB13_RAT
6486,LIPE_MOUSE
6487,CO8G_HUMAN
6488,URA7_YEAST
6489,XPR1_MUSTR
6490,TYLH1_STRFR
6491,E13B_HORVU
6492,KCO3_ARATH
6493,JSPR1_HUMAN
6494,TIM14_HUMAN
6495,LIN10_CAEEL
6496,YB4E_SCHPO
6497,NODAL_HUMAN
6498,PSA4_SCHPO
6499,FOSLA_DROME
6500,NDUA7_MOUSE
6501,SSL10_ARATH
6502,OYEB_SCHPO
6503,NTR2_MOUSE
6504,AP180_MOUSE
6505,MFT_ARATH
6506,THDH_YEAST
6507,SIAH2_HUMAN
6508,MKAR_SCHPO
6509,NDUA9_ARATH
6510,MD2L1_HUMAN
6511,PER57_ARATH
6512,JAP1_RANJA
6513,AGTR2_HUMAN
6514,IL27B_MOUSE
6515,ISN1_SCHPO
6516,ICO5D_LIMDO
6517,DECR_HUMAN
6518,EI2BD_RAT
6519,RL37A_HUMAN
6520,HGS_HUMAN
6521,BODG_MOUSE
6522,BCAM_HUMAN
6523,HEM6_RAT
6524,PMG2_ARATH
6525,HBA_MOUSE
6526,PPP5_HUMAN
6527,RBM47_HUMAN
6528,LV144_HUMAN
6529,NRAM2_MOUSE
6530,HIR2_ARATH
6531,PIRL9_ARATH
6532,NADE_SCHPO
6533,METK_MYCTU
6534,CRK36_ARATH
6535,BLUS1_ARATH
6536,GRK5_MOUSE
6537,ADT2_MOUSE
6538,NPSR1_RAT
6539,PSYR_MOUSE
6540,RIPP1_MOUSE
6541,CCR1_ARATH
6542,IDH3G_HUMAN
6543,FAAA_MOUSE
6544,HNRPD_HUMAN
6545,CUED2_HUMAN
6546,NIP21_ARATH
6547,DDHD1_HUMAN
6548,TCP21_ARATH
6549,MDGA2_MOUSE
6550,LX12E_MOUSE
6551,F170B_MOUSE
6552,NUP53_YEAST
6553,RGMC_HUMAN
6554,T3HPD_RHIME
6555,MSH5_MOUSE
6556,PMGT1_HUMAN
6557,LRK63_ARATH
6558,CKAP4_HUMAN
6559,RHPN1_HUMAN
6560,NOG1_CAEEL
6561,EFTU2_ECOLI
6562,MA1B1_HUMAN
6563,CANT1_RAT
6564,CPSF2_DROME
6565,VPC31_MYCTU
6566,CSN9_DROME
6567,DF193_ARATH
6568,PABP_SCHPO
6569,OR4S2_HUMAN
6570,PA2G3_HUMAN
6571,TNR22_MOUSE
6572,BH066_ARATH
6573,AKH1_ARATH
6574,RB33A_HUMAN
6575,SIR41_CAEEL
6576,MK03_RAT
6577,CO052_HUMAN
6578,MLF_DROME
6579,HMGB1_HUMAN
6580,LCLT1_HUMAN
6581,COPB2_BOVIN
6582,INHA_HUMAN
6583,CRNS1_HUMAN
6584,KAD4_HUMAN
6585,NDUS2_HUMAN
6586,CISY4_ARATH
6587,KIN82_YEAST
6588,HM32_CAEEL
6589,ACSM4_RAT
6590,ENOA_MOUSE
6591,ZP4_HUMAN
6592,RS29_HUMAN
6593,PTR21_ARATH
6594,CP4FC_HUMAN
6595,ACADM_RAT
6596,VTA1_HUMAN
6597,GMK2_ARATH
6598,PIP22_ARATH
6599,MCM7_DROME
6600,MTG1_MOUSE
6601,IF5Y_ARATH
6602,MAD22_ORYSJ
6603,FST_MOUSE
6604,G3PP1_ARATH
6605,FHL5_MOUSE
6606,ENP1_ENCIN
6607,IF2A_YEAST
6608,IOVO_MELGA
6609,PSB11_MOUSE
6610,UGT6_CATRO
6611,RFA1_DANRE
6612,P53_DANRE
6613,YDC1_YEAST
6614,UD17_HUMAN
6615,SPYA_MOUSE
6616,FKB14_HUMAN
6617,COMP_RAT
6618,ECM23_YEAST
6619,CEBPD_RAT
6620,AQP3_RAT
6621,THIL1_DICDI
6622,DPP10_MOUSE
6623,SETD3_MOUSE
6624,CRGD_HUMAN
6625,CEMA_ORYSA
6626,TSN13_HUMAN
6627,U72B3_ARATH
6628,P5F12_XENLA
6629,SMYD2_RAT
6630,RUXG_HUMAN
6631,PE11B_LITPE
6632,PQSH_PSEAE
6633,WWP1_MOUSE
6634,CD81_MOUSE
6635,CHX17_ARATH
6636,PP2A3_ARATH
6637,NEUA_BOVIN
6638,AKT3_RAT
6639,MRP_HUMAN
6640,NPFR_DROME
6641,SOX6_MOUSE
6642,PLST_MOUSE
6643,MTG1_YEAST
6644,HS90A_RAT
6645,SEM7A_MOUSE
6646,TDH_HUMAN
6647,EZRI_MOUSE
6648,BCL10_HUMAN
6649,O10H2_HUMAN
6650,CSN4_DROME
6651,RXRA_HUMAN
6652,USBP1_HUMAN
6653,OR5T2_HUMAN
6654,IREB2_HUMAN
6655,HSF1_MOUSE
6656,AXS2_ARATH
6657,BBS2_RAT
6658,POTF_ECOLI
6659,SV91A_DANRE
6660,RDRP_I33A0
6661,PUM14_ARATH
6662,RT25_BOVIN
6663,CAB39_HUMAN
6664,PTH_MOUSE
6665,RO60_XENLA
6666,GLO2D_ARATH
6667,CNNM4_MOUSE
6668,NRSN1_MOUSE
6669,XXT3_ARATH
6670,MERTK_RAT
6671,NOX1_HUMAN
6672,PAK2_HUMAN
6673,ASNS2_YEAST
6674,CFM3_MAIZE
6675,RS12_ECOLI
6676,CETP_HUMAN
6677,INHBB_CHICK
6678,AMYA3_ASPOR
6679,HAL4_SCHPO
6680,IL6_RAT
6681,AGAL2_HYPJE
6682,SHH4_YEAST
6683,HSRA_ECOLI
6684,CF50_DICDI
6685,DDX20_HUMAN
6686,ZIP12_ARATH
6687,BID_HUMAN
6688,MK01_RAT
6689,PH4H_HUMAN
6690,SIR1_MOUSE
6691,CDLS_BACLD
6692,AMT21_ORYSJ
6693,MCAT_MOUSE
6694,KPYK1_YEAST
6695,Y5129_ARATH
6696,RL102_ARATH
6697,SAR1_YEAST
6698,LGR5_MOUSE
6699,EXPA5_ARATH
6700,COG3_DROME
6701,NRG1_HUMAN
6702,AKT1_RAT
6703,VSPA1_CROAT
6704,CISD1_HUMAN
6705,OTUL_MOUSE
6706,FGF18_MOUSE
6707,EWG_DROME
6708,GRF2_ARATH
6709,H31_RAT
6710,LDB1_XENLA
6711,TREX1_HUMAN
6712,PCSK9_HUMAN
6713,SAD1_CAEEL
6714,ATPH_ORYNI
6715,PURR_ECOLI
6716,NOGG2_DANRE
6717,HEPA_HCMVA
6718,ASNH_MYCTU
6719,LDLR_MOUSE
6720,GAOX1_ORYSJ
6721,RM12_MOUSE
6722,ALX1_HUMAN
6723,GATD1_HUMAN
6724,RSSA1_YEAST
6725,SO1B2_RAT
6726,TBG2_MOUSE
6727,PYGL_HUMAN
6728,XRN4_ARATH
6729,PPR26_ARATH
6730,RF12A_XENLA
6731,EGL9_CAEEL
6732,TPP1_HUMAN
6733,CD5_MOUSE
6734,VATE1_MOUSE
6735,CRKL_MOUSE
6736,EBI_DROME
6737,S13A1_HUMAN
6738,CALCA_RAT
6739,RBOHB_ORYSJ
6740,AI5L6_ARATH
6741,PRIO_RAT
6742,S2546_HUMAN
6743,PA2A_RANPA
6744,SAP47_DROME
6745,KCS20_ARATH
6746,C71DF_MENPI
6747,APT1_YEAST
6748,POSTN_HUMAN
6749,HGD_ARATH
6750,BRD7_MOUSE
6751,MMAC_DANRE
6752,NPAS2_CHICK
6753,ST2S2_DANRE
6754,U78D1_ARATH
6755,DDC_HUMAN
6756,HHL1_ARATH
6757,OPSG4_DANRE
6758,AFAP1_HUMAN
6759,TL5B_TACTR
6760,SO1A1_MOUSE
6761,AT2L1_DANRE
6762,SNAG_HUMAN
6763,ARSH_HUMAN
6764,PERK1_ARATH
6765,VKOR1_RAT
6766,RHA2B_ARATH
6767,UBX2_SCHPO
6768,HS906_ARATH
6769,AP1M_CAEEL
6770,POP2_SCHPO
6771,MCES_CANAL
6772,CXD2_MOUSE
6773,RL27A_YEAST
6774,POLK_MOUSE
6775,IL5_RAT
6776,BNI3L_HUMAN
6777,1433E_RAT
